tweetid,sentiment
169760,2.0
35326,2.0
224985,0.0
476263,1.0
872928,1.0
75639,1.0
211536,0.0
569434,2.0
315368,2.0
591733,0.0
91983,2.0
67249,1.0
143459,0.0
663535,0.0
20476,0.0
815297,0.0
274098,0.0
30045,0.0
681487,0.0
708966,2.0
393689,0.0
186705,0.0
233977,0.0
525794,2.0
863649,0.0
315964,0.0
588985,0.0
669979,0.0
137059,0.0
556915,0.0
951973,0.0
72939,0.0
205796,0.0
478581,2.0
453375,1.0
555551,2.0
219030,0.0
546209,1.0
416919,0.0
433824,0.0
621526,1.0
616108,0.0
70943,0.0
153248,0.0
854719,1.0
616444,0.0
118418,2.0
846132,0.0
443106,1.0
758958,2.0
376412,1.0
667731,0.0
222107,-1.0
349545,1.0
284026,0.0
564727,2.0
522979,0.0
460970,1.0
371750,0.0
251299,-1.0
485211,0.0
502976,2.0
623282,0.0
217605,1.0
225330,0.0
58854,0.0
723671,0.0
366409,0.0
704565,0.0
655925,2.0
717618,1.0
922449,0.0
729885,0.0
599133,1.0
89885,0.0
249039,0.0
440750,0.0
18663,0.0
314549,1.0
643414,2.0
61835,0.0
659073,1.0
178597,0.0
152298,0.0
581943,1.0
781913,0.0
336886,0.0
624852,2.0
655116,1.0
5591,1.0
731620,1.0
872882,1.0
320393,0.0
353463,2.0
816508,1.0
636325,0.0
53058,0.0
725589,2.0
693559,1.0
66255,0.0
218797,1.0
307092,0.0
188557,2.0
137392,0.0
597086,0.0
96006,1.0
330509,1.0
78639,1.0
536231,0.0
304814,0.0
553696,1.0
455898,1.0
745466,1.0
846719,0.0
722710,1.0
989172,0.0
492079,0.0
315869,1.0
32675,1.0
959684,0.0
641938,0.0
933443,1.0
458401,1.0
554994,0.0
461467,2.0
902353,1.0
178794,0.0
387356,0.0
380276,0.0
824355,1.0
685606,0.0
85488,1.0
50608,1.0
447977,0.0
943930,0.0
183083,0.0
359626,0.0
810128,0.0
380913,2.0
516209,0.0
993538,1.0
594772,1.0
22428,1.0
991876,0.0
504172,2.0
283272,0.0
914599,1.0
752129,0.0
701957,1.0
858489,1.0
221704,2.0
409406,1.0
468372,0.0
818509,0.0
204729,1.0
394896,2.0
397593,0.0
465474,1.0
450344,0.0
502719,0.0
816499,1.0
291002,-1.0
301225,1.0
402773,0.0
81233,0.0
642569,0.0
900041,0.0
67900,2.0
237131,0.0
311030,0.0
975455,0.0
69232,1.0
156024,1.0
268543,1.0
586693,0.0
709157,0.0
582003,-1.0
689136,-1.0
953619,1.0
971710,0.0
809619,0.0
595597,0.0
274499,1.0
771063,1.0
597739,0.0
110053,0.0
723442,0.0
881554,0.0
704923,1.0
822018,1.0
505322,0.0
120776,1.0
404757,2.0
811053,0.0
317696,2.0
734766,0.0
841196,0.0
400682,0.0
649511,1.0
740566,1.0
798359,0.0
861578,0.0
5417,0.0
609894,0.0
174874,0.0
227482,0.0
316886,0.0
112798,1.0
44507,0.0
444423,0.0
878768,0.0
951095,1.0
970445,0.0
208227,1.0
545402,0.0
498559,0.0
454769,0.0
490905,0.0
343981,1.0
891649,1.0
794296,1.0
669149,0.0
104997,1.0
54711,1.0
756770,1.0
632633,0.0
882503,1.0
604089,0.0
37591,2.0
304290,0.0
167356,2.0
398680,0.0
268980,1.0
485450,2.0
246743,0.0
83632,1.0
804653,0.0
614272,1.0
699619,1.0
128361,1.0
617614,1.0
756863,1.0
550624,0.0
971913,0.0
597102,-1.0
468901,1.0
512603,0.0
869,0.0
135515,1.0
471002,0.0
76054,0.0
835455,2.0
593722,0.0
209903,0.0
311687,0.0
38624,0.0
140169,0.0
50739,2.0
134179,1.0
368885,0.0
955073,2.0
642519,0.0
849811,0.0
377434,0.0
61946,-1.0
128149,0.0
545779,0.0
145812,0.0
839220,0.0
23630,0.0
631635,2.0
659284,0.0
636800,1.0
246233,0.0
224961,0.0
227170,1.0
24500,0.0
444613,0.0
173797,-1.0
183700,2.0
305251,0.0
487336,0.0
521403,0.0
741971,0.0
171732,0.0
354162,0.0
572875,2.0
337961,1.0
39327,1.0
666488,0.0
686787,0.0
248289,1.0
644357,1.0
106812,1.0
492300,1.0
929522,2.0
827492,2.0
92888,1.0
748860,0.0
544547,0.0
970736,0.0
805808,1.0
320551,1.0
210944,1.0
109631,1.0
251292,0.0
170364,1.0
948426,0.0
780776,0.0
693604,2.0
799998,0.0
373943,0.0
593149,0.0
264289,0.0
479344,0.0
820909,1.0
492817,0.0
831733,0.0
405413,1.0
685176,0.0
982870,0.0
92655,0.0
929710,2.0
365298,-1.0
597644,0.0
908494,1.0
532450,0.0
431470,1.0
261786,0.0
126953,0.0
157454,1.0
911863,0.0
968491,0.0
341684,0.0
868000,0.0
937870,0.0
196243,1.0
749947,0.0
10201,-1.0
861465,-1.0
418775,1.0
561942,2.0
61831,0.0
224428,0.0
470738,2.0
694377,0.0
557591,0.0
504856,1.0
988980,1.0
811937,0.0
78955,1.0
166783,0.0
2520,1.0
268418,0.0
911873,0.0
380946,0.0
841067,0.0
760341,0.0
872864,0.0
833511,0.0
795400,0.0
947288,1.0
97754,2.0
848402,0.0
77036,2.0
280663,0.0
654324,0.0
105628,0.0
227665,1.0
169839,-1.0
334216,0.0
502105,1.0
174279,1.0
193681,0.0
457324,2.0
562231,0.0
254480,0.0
432635,0.0
916814,0.0
217862,0.0
454694,0.0
512554,1.0
249736,1.0
979904,0.0
841942,2.0
141852,2.0
279014,0.0
511552,0.0
502057,0.0
822243,0.0
586976,1.0
870627,0.0
809260,0.0
258979,0.0
342572,0.0
833715,2.0
63205,0.0
327,0.0
286773,0.0
831328,1.0
265516,0.0
988076,1.0
92963,0.0
813089,0.0
372840,0.0
460869,0.0
700900,0.0
54421,0.0
83811,0.0
932229,1.0
14731,1.0
416245,0.0
91717,-1.0
37782,0.0
168950,2.0
791767,1.0
612474,1.0
863569,0.0
833620,0.0
831050,0.0
327186,1.0
70954,0.0
744906,-1.0
410805,0.0
321290,0.0
560166,1.0
199999,1.0
520958,0.0
486093,0.0
433768,0.0
170942,0.0
97769,0.0
574580,0.0
427983,0.0
536786,0.0
64572,2.0
932658,0.0
875904,1.0
388184,1.0
448406,0.0
280094,0.0
196585,2.0
297123,0.0
583405,0.0
749358,0.0
8540,0.0
92130,1.0
682459,0.0
493774,1.0
81514,0.0
937131,0.0
683822,0.0
181932,0.0
185061,0.0
718905,0.0
467768,0.0
50360,2.0
37282,0.0
324725,0.0
587613,2.0
759085,0.0
995304,0.0
62430,1.0
959472,0.0
134816,0.0
443799,1.0
84144,0.0
626595,0.0
382192,0.0
249680,0.0
209100,0.0
505060,0.0
510212,0.0
454150,0.0
900706,0.0
355447,0.0
415557,0.0
431394,0.0
796461,1.0
551013,-1.0
71926,1.0
260753,1.0
883406,1.0
973790,0.0
673020,0.0
573493,0.0
850799,0.0
596499,0.0
430720,1.0
970612,2.0
645141,0.0
122672,0.0
572212,2.0
590281,2.0
185082,1.0
643999,0.0
276142,2.0
522428,-1.0
242869,1.0
859835,2.0
179238,0.0
830861,1.0
659715,1.0
742214,1.0
44768,0.0
156753,0.0
689726,0.0
659825,0.0
805236,1.0
484743,0.0
843791,0.0
401342,0.0
268165,1.0
450971,1.0
969588,0.0
493909,0.0
775367,0.0
102955,0.0
356595,0.0
860992,1.0
478186,-1.0
235851,0.0
859554,1.0
383555,2.0
568803,-1.0
522415,0.0
493050,0.0
568528,0.0
371027,1.0
554560,0.0
969599,0.0
70097,0.0
898167,-1.0
483103,0.0
773089,0.0
436540,2.0
214657,0.0
824653,0.0
132616,1.0
962166,0.0
357327,2.0
183595,0.0
338190,1.0
821753,0.0
782634,2.0
355771,1.0
102889,2.0
335544,0.0
417438,0.0
99418,2.0
774033,0.0
151834,0.0
573075,0.0
675187,1.0
488287,1.0
317596,1.0
848773,0.0
177318,0.0
743728,2.0
166017,1.0
668192,2.0
242646,0.0
572824,2.0
516374,2.0
569974,0.0
368987,1.0
35989,0.0
439267,0.0
425036,0.0
978741,1.0
161511,1.0
158819,0.0
225262,0.0
398562,1.0
940439,1.0
657384,0.0
348631,2.0
950221,0.0
390207,0.0
633050,0.0
45603,1.0
892219,0.0
763551,2.0
219247,0.0
78219,0.0
106376,-1.0
664990,0.0
61204,1.0
444521,0.0
162744,0.0
10394,2.0
107336,0.0
400960,1.0
157258,1.0
762553,0.0
398197,0.0
513701,0.0
